uuid,variable_type,variable_name,equipment_ID,equipment_type
44384ce5-956f-4433-be47-ddcb45cb4d8c,ActFlow,2-2-18_ActFlow,2-2-18,VAV
ab988c23-1f42-4a6d-9cfc-2d4673570efa,ActFlow,2-5-23_ActFlow,2-5-23,VAV
484672f0-c0a3-4a63-aa0c-22a5252f18bd,ActFlow,1-2-5_ActFlow,1-2-5,VAV
be7c3077-f71e-4296-8e7c-6b7f085a30bb,ActFlow,2-4-14_ActFlow,2-4-14,VAV
caf9cce9-8d13-40ac-a27d-3a1b175a4fe5,ActFlow,1-3-2_ActFlow,1-3-2,VAV
461727c7-6b19-4016-ad8f-fa2cdb63621d,ActFlow,1-5-9_ActFlow,1-5-9,VAV
107a681a-9058-45c0-9816-7d21d2873e20,ActFlow,2-1-17_ActFlow,2-1-17,VAV
3ceaffaa-7645-4e70-b8fb-35551e52d4ea,ActFlow,1-5-13_ActFlow,1-5-13,VAV
40909474-b3f4-4621-9b32-7b6ddd5a5163,ActFlow,1-4-7_ActFlow,1-4-7,VAV
3626af4f-23d0-4ef7-a2dc-fc7a2bd9cc2c,ActFlow,2-3-14_ActFlow,2-3-14,VAV
123f68f2-ce52-482a-bf63-11ba1e34cf00,ActFlow,2-1-12_ActFlow,2-1-12,VAV
cc2a9a9a-3aa6-4419-8516-4af5fd3ff210,ActFlow,1-5-16_ActFlow,1-5-16,VAV
c8193ac3-923a-4f7e-8e75-b7c114d3fa0b,ActFlow,1-3-7_ActFlow,1-3-7,VAV
315352f4-a7fd-49b4-be2a-800ffe853b4a,ActFlow,2-2-14_ActFlow,2-2-14,VAV
90198589-a6f3-4036-9585-93b8d3127e7d,ActFlow,2-1-20_ActFlow,2-1-20,VAV
65cb811c-f13c-44d8-ad14-003a68166a34,ActFlow,2-4-18_ActFlow,2-4-18,VAV
f0cfbbd8-88b0-441d-8b08-89019b27c5e2,ActFlow,1-4-2_ActFlow,1-4-2,VAV
139de008-d815-41ae-92b4-cb03626e0668,ActFlow,1-5-5_ActFlow,1-5-5,VAV
f9754c0c-f503-4cc3-a95b-ba68dd05de13,ActFlow,2-3-18_ActFlow,2-3-18,VAV
2b634dd2-69b8-4cad-a69b-3c73d77de3ba,ActFlow,1-1-5_ActFlow,1-1-5,VAV
c42f0631-97e0-4bc8-b5bc-a4948d596c82,ActFlow,1-2-3_ActFlow,1-2-3,VAV
c84f2f3d-c808-481a-afac-571c0e36fc1a,ActFlow,2-5-25_ActFlow,2-5-25,VAV
e821f2d4-4464-49c6-80ab-81cc1656ad7e,ActFlow,1-3-10_ActFlow,1-3-10,VAV
257e5af8-3437-4839-b930-cc80dc2e1f6b,ActFlow,1-4-8_ActFlow,1-4-8,VAV
3dd0c5e8-2426-4e3c-bcf4-92bc695367e9,ActFlow,1-1-6_ActFlow,1-1-6,VAV
2aaa919d-ded5-4e8d-971d-b19f2c958e0a,ActFlow,2-1-18_ActFlow,2-1-18,VAV
964ca4a9-52ad-497b-8a3d-4d3048ebcbfc,ActFlow,2-4-20_ActFlow,2-4-20,VAV
dfa790d4-23f9-4314-b7a3-c9bb5b7a7904,ActFlow,1-5-6_ActFlow,1-5-6,VAV
6e85dad9-b756-4b7a-9ac3-d8c4d373804c,ActFlow,1-4-1_ActFlow,1-4-1,VAV
1e96e4b7-0c77-471b-8fe4-f25a07162e54,ActFlow,2-2-17_ActFlow,2-2-17,VAV
ad7e658e-538a-4d96-8066-a788317c34f0,ActFlow,2-3-20_ActFlow,2-3-20,VAV
25954c55-6a12-4c36-8423-5491ac3d1b9c,ActFlow,2-1-11_ActFlow,2-1-11,VAV
fe42c836-f7b8-4894-ac50-242351416835,ActFlow,1-3-4_ActFlow,1-3-4,VAV
a0a041a0-9d9e-43e9-9cb0-0b8dbfbd296f,ActFlow,2-3-17_ActFlow,2-3-17,VAV
8756c74a-6eac-4c7e-8d58-88dbf7ba3d7c,ActFlow,2-2-20_ActFlow,2-2-20,VAV
c0c48017-5f50-42f1-93a9-3d7d4f84fb8e,ActFlow,1-4-4_ActFlow,1-4-4,VAV
b71fa73b-551b-4d79-aa65-3ed00969ed82,ActFlow,1-3-1_ActFlow,1-3-1,VAV
194fb79d-5536-4382-84c9-b8b14f95acd8,ActFlow,1-5-10_ActFlow,1-5-10,VAV
51d5d4d6-6779-4063-9650-5e8d7f902ef5,ActFlow,2-1-14_ActFlow,2-1-14,VAV
121ab8bb-fd01-41b8-9432-770c19b43757,ActFlow,2-2-12_ActFlow,2-2-12,VAV
b119868a-2a1f-4ee4-8ba8-1d243d1e0bb1,ActFlow,1-1-3_ActFlow,1-1-3,VAV
b95b7b3b-a3de-4997-950c-64e18edb8866,ActFlow,2-4-17_ActFlow,2-4-17,VAV
f97eb429-fb82-4cb9-bd7f-2107c36b43a4,ActFlow,2-5-20_ActFlow,2-5-20,VAV
cd2917d4-2e77-43e2-8451-592f7d1f9ab5,ActFlow,1-2-6_ActFlow,1-2-6,VAV
0a61af6e-80b0-4ac6-9b24-872f0ad9b49c,ActFlow,1-5-3_ActFlow,1-5-3,VAV
7bb24c90-25f0-4472-acef-f359389cf86e,ActFlow,1-3-8_ActFlow,1-3-8,VAV
b1610cf4-35d5-4806-abcd-76f3cc5ff2d9,ActFlow,1-1-4_ActFlow,1-1-4,VAV
82103ea2-8310-41ae-bd1b-03be6108c790,ActFlow,2-3-19_ActFlow,2-3-19,VAV
9c020ef2-995c-4de0-a943-8f9d804f4a1b,ActFlow,1-2-1_ActFlow,1-2-1,VAV
ad4d17ea-da28-4ed6-aafa-15b690c0fe0b,ActFlow,1-5-4_ActFlow,1-5-4,VAV
69d9d1b2-69c5-4899-8c27-509e1c0faf0a,ActFlow,2-4-17A_ActFlow,2-4-17A,VAV
499424f1-46ef-42d7-9864-bf44c33de838,ActFlow,2-4-19_ActFlow,2-4-19,VAV
b1162371-1b3d-46e3-b895-4bc34069a295,ActFlow,2-5-17B_ActFlow,2-5-17B,VAV
add797ff-5ee6-411e-b6d6-4b836c0fb38a,ActFlow,1-2-8_ActFlow,1-2-8,VAV
06faee22-8d85-47b9-8d3a-cf7dd7d5f162,ActFlow,1-4-3_ActFlow,1-4-3,VAV
